,id,date,price,bedrooms,bathrooms,floors,waterfront,view,condition,grade,yr_built,yr_renovated,zipcode,lat,long,month,year,season,m2_lot,m2_living,m2_above,m2_basement,price_m2,median_price_m2_zipcode,dormitory_type,price_group,house_age,better_season_to_sell,sale_price,roi_%,house_group
1665,7322910030,2014-07-21,1095000.0,5,3.5,2,0,0,4,9,1990,0,98053,47.6554,-122.018,7,2014,summer,5301.282051282052,409.69899665551844,409.69899665551844,0.0,206.55380894800481,854.4820453892559,mansion,0%_25%,60_90,winter,1971000.0,80.0,group_1
1713,2954400520,2015-04-30,1237500.0,4,3.25,2,0,0,4,10,1991,0,98053,47.6676,-122.069,4,2015,spring,4639.167595689335,481.23374210330735,481.23374210330735,0.0,266.7504405639218,854.4820453892559,house,25%_50%,+90,winter,1856250.0,50.0,group_1
1787,525069099,2014-10-22,685000.0,3,2.5,2,0,0,4,8,1993,0,98053,47.6847,-122.064,10,2014,fall,20436.45484949833,215.5332590115199,215.5332590115199,0.0,33.51853367154897,854.4820453892559,house,0%_25%,+90,winter,1233000.0,80.0,group_1
3218,2723069129,2015-05-06,427000.0,3,2.5,2,0,0,4,8,1990,0,98038,47.4583,-122.036,5,2015,spring,10076.551467855816,243.403939056113,243.403939056113,0.0,42.37560849682844,524.450002561007,house,0%_25%,60_90,summer,768600.0,80.0,group_1
3272,2025700730,2014-05-02,287200.0,3,3.0,1,0,0,4,7,1992,0,98038,47.3493,-122.034,5,2014,spring,1854.8866592344855,171.86919360832405,101.26347082868823,70.60572277963583,154.8342582390063,524.450002561007,house,25%_50%,+90,summer,430800.0,50.0,group_1
3325,322069180,2014-11-20,649500.0,3,3.0,1,0,0,4,9,1990,0,98038,47.4257,-122.03,11,2014,fall,35612.040133779265,346.5254552211074,207.17205499814196,139.35340022296546,18.238213749060858,524.450002561007,house,0%_25%,60_90,summer,1169100.0,80.0,group_1
6661,1121059105,2014-07-08,378500.0,3,2.5,2,0,0,4,9,1990,0,98092,47.3163,-122.142,7,2014,summer,4071.0702341137126,265.7004830917875,265.7004830917875,0.0,92.97309509139453,357.36479999999995,house,25%_50%,60_90,fall,567750.0,50.0,group_1
6674,7968460110,2014-06-19,280000.0,3,2.0,1,0,0,4,7,1990,0,98092,47.3143,-122.134,6,2014,summer,3938.9632107023413,166.29505759940542,166.29505759940542,0.0,71.08469539375929,357.36479999999995,house,0%_25%,60_90,fall,504000.0,80.0,group_1
6885,2891400380,2015-04-14,449950.0,3,1.75,1,0,3,4,7,1999,0,98092,47.2853,-122.008,4,2015,spring,8983.927907840953,192.30769230769232,192.30769230769232,0.0,50.0838836437339,357.36479999999995,house,0%_25%,+90,fall,809910.0,80.0,group_1
8291,2523069192,2014-07-08,1049000.0,4,3.75,2,0,0,4,10,1991,0,98027,47.4449,-121.979,7,2014,summer,11776.198439241918,440.3567447045708,440.3567447045708,0.0,89.07798262845242,596.2245488833676,house,0%_25%,+90,spring,1888200.0,80.0,group_1
